task,slot,end_epoch,end_iso,start_epoch,prompt_tokens,prompt_ms,prompt_tok_s,gen_tokens,gen_ms,gen_tok_s,total_ms
0,3,1789666442,2026-09-18T01:34:02+08:00,1789666389.592,1438,34449.14,41.74,139,17958.41,7.68,52407.55
145,3,1789666505,2026-09-18T01:35:05+08:00,1789666442.271,219,6679.99,32.78,422,56049.49,7.51,62729.49
569,3,1789666559,2026-09-18T01:35:59+08:00,1789666504.635,228,6788.5,33.59,359,47576.94,7.52,54365.44
930,3,1789666610,2026-09-18T01:36:50+08:00,1789666558.847,168,4650.24,36.13,355,46502.63,7.61,51152.88
1287,3,1789666686,2026-09-18T01:38:06+08:00,1789666610.365,115,3471.25,33.13,546,72164.2,7.55,75635.45
1835,3,1789666707,2026-09-18T01:38:27+08:00,1789666686.065,92,2809.75,32.74,141,18125.37,7.72,20935.12
1978,2,1789666777,2026-09-18T01:39:37+08:00,1789666706.377,1127,26102.82,43.18,347,44520.49,7.77,70623.32
2331,2,1789666979,2026-09-18T01:42:59+08:00,1789666776.993,188,4881.15,38.52,1459,197125.85,7.4,202006.99
3792,2,1789667040,2026-09-18T01:44:00+08:00,1789666979.161,268,6913.99,38.76,415,53925.14,7.68,60839.13
4209,2,1789667051,2026-09-18T01:44:11+08:00,1789667040.652,121,3333.48,36.3,55,7014.23,7.7,10347.71
4266,2,1789667281,2026-09-18T01:48:01+08:00,1789667050.446,143,4038.56,35.41,1663,226515.69,7.34,230554.25
5931,2,1789667305,2026-09-18T01:48:25+08:00,1789667281.264,126,3710.71,33.96,158,20025.63,7.84,23736.33
6091,2,1789667440,2026-09-18T01:50:40+08:00,1789667305.172,162,4380.01,36.99,986,130447.82,7.55,134827.83
7079,1,1789667781,2026-09-18T01:56:21+08:00,1789667439.69,1689,42491.31,39.75,2048,298818.85,6.85,341310.16
9133,1,1789667992,2026-09-18T01:59:52+08:00,1789667780.928,268,7905.4,33.9,1422,203166.9,6.99,211072.31
10558,1,1789668090,2026-09-18T02:01:30+08:00,1789667992.293,273,7960.75,34.29,645,89745.99,7.18,97706.74
11206,1,1789668208,2026-09-18T02:03:28+08:00,1789668089.636,276,7897.75,34.95,791,110466.65,7.15,118364.39
11999,1,1789668527,2026-09-18T02:08:47+08:00,1789668208.042,344,9834.02,34.98,2048,309124.23,6.62,318958.25
14049,1,1789668624,2026-09-18T02:10:24+08:00,1789668527.132,179,5110.12,35.03,660,91758.15,7.18,96868.27
14711,1,1789668687,2026-09-18T02:11:27+08:00,1789668624.053,177,5039.0,35.13,418,57908.25,7.2,62947.26
15131,1,1789668965,2026-09-18T02:16:05+08:00,1789668687.227,636,18669.7,34.07,1744,259103.42,6.73,277773.12
16878,1,1789669033,2026-09-18T02:17:13+08:00,1789668964.67,170,4915.62,34.58,460,63414.52,7.24,68330.14
17340,0,1789669142,2026-09-18T02:19:02+08:00,1789669033.069,1614,39985.58,40.36,490,68945.66,7.09,108931.24
17836,0,1789669215,2026-09-18T02:20:15+08:00,1789669142.507,276,8233.6,33.52,455,64259.47,7.07,72493.08
18294,0,1789669529,2026-09-18T02:25:29+08:00,1789669215.086,310,9525.92,32.54,2048,304388.15,6.72,313914.07
20345,3,1789669609,2026-09-18T02:26:49+08:00,1789669528.753,1391,34501.14,40.32,344,45746.01,7.5,80247.15
20695,3,1789669711,2026-09-18T02:28:31+08:00,1789669609.054,211,6259.76,33.71,706,95685.82,7.37,101945.57
21403,3,1789669944,2026-09-18T02:32:24+08:00,1789669711.144,272,7537.29,36.09,1604,225318.56,7.11,232855.85
23009,3,1789669965,2026-09-18T02:32:45+08:00,1789669944.15,102,3079.7,33.12,134,17770.71,7.48,20850.42
23145,3,1789669994,2026-09-18T02:33:14+08:00,1789669964.99,126,3860.36,32.64,189,25149.73,7.48,29010.09
23336,3,1789670150,2026-09-18T02:35:50+08:00,1789669994.167,148,3951.26,37.46,1121,151881.77,7.37,155833.04
24459,3,1789670204,2026-09-18T02:36:44+08:00,1789670149.345,185,4887.21,37.85,380,49767.33,7.62,54654.54
24841,2,1789670530,2026-09-18T02:42:10+08:00,1789670204.788,1384,33820.44,40.92,2048,291391.9,7.02,325212.34
26895,2,1789670705,2026-09-18T02:45:05+08:00,1789670529.494,146,4122.01,35.42,1253,171383.73,7.31,175505.73
28151,2,1789670882,2026-09-18T02:48:02+08:00,1789670705.372,454,12156.02,37.35,1177,164472.17,7.15,176628.19
29330,2,1789671136,2026-09-18T02:52:16+08:00,1789670881.882,204,5839.22,34.94,1766,248278.86,7.11,254118.08
31098,2,1789671382,2026-09-18T02:56:22+08:00,1789671136.195,299,8642.61,34.6,1680,237162.63,7.08,245805.24
32780,2,1789671603,2026-09-18T03:00:03+08:00,1789671381.756,199,5599.43,35.54,1548,215644.32,7.17,221243.75
34331,2,1789671864,2026-09-18T03:04:24+08:00,1789671603.532,374,9664.85,38.7,1760,250802.7,7.01,260467.55
36094,2,1789671942,2026-09-18T03:05:42+08:00,1789671863.615,265,7463.28,35.51,532,70921.7,7.49,78384.99
36629,1,1789672006,2026-09-18T03:06:46+08:00,1789671942.349,1097,25837.34,42.46,285,37813.51,7.51,63650.85
36920,1,1789672019,2026-09-18T03:06:59+08:00,1789672005.497,98,2863.91,34.22,82,10638.88,7.61,13502.79
37004,1,1789672088,2026-09-18T03:08:08+08:00,1789672019.431,164,4433.83,36.99,480,64134.94,7.47,68568.77
37486,1,1789672181,2026-09-18T03:09:41+08:00,1789672087.418,299,8422.6,35.5,632,85158.98,7.41,93581.58
38120,1,1789672227,2026-09-18T03:10:27+08:00,1789672181.631,140,4017.24,34.85,310,41351.78,7.47,45369.01
38432,1,1789672313,2026-09-18T03:11:53+08:00,1789672226.516,300,8090.19,37.08,588,78393.96,7.49,86484.15
39022,1,1789672407,2026-09-18T03:13:27+08:00,1789672313.582,195,5245.97,37.17,663,88171.92,7.51,93417.89
39687,0,1789672479,2026-09-18T03:14:39+08:00,1789672406.826,2459,64745.76,37.98,51,7428.39,6.73,72174.15
39744,0,1789672500,2026-09-18T03:15:00+08:00,1789672478.515,366,11294.41,32.41,71,10190.3,6.87,21484.71
39817,0,1789672513,2026-09-18T03:15:13+08:00,1789672500.952,120,4567.92,26.27,53,7480.35,6.95,12048.26
39873,3,1789672593,2026-09-18T03:16:33+08:00,1789672512.678,1497,37309.18,40.12,324,43012.76,7.51,80321.94
40203,3,1789672742,2026-09-18T03:19:02+08:00,1789672593.353,472,13192.83,35.78,978,135454.31,7.21,148647.15
41184,3,1789672821,2026-09-18T03:20:21+08:00,1789672741.272,363,10008.75,36.27,518,69719.67,7.42,79728.42
41705,3,1789672955,2026-09-18T03:22:35+08:00,1789672820.906,439,12236.08,35.88,893,121857.85,7.32,134093.93
42601,3,1789672988,2026-09-18T03:23:08+08:00,1789672955.638,292,8041.63,36.31,181,24319.89,7.4,32361.52
42785,3,1789673009,2026-09-18T03:23:29+08:00,1789672987.885,338,9379.56,36.04,87,11735.17,7.33,21114.72
42874,3,1789673038,2026-09-18T03:23:58+08:00,1789673008.958,393,10839.02,36.26,136,18202.83,7.42,29041.86
43012,3,1789673151,2026-09-18T03:25:51+08:00,1789673038.453,471,12835.34,36.7,730,99711.93,7.31,112547.28
43744,3,1789673160,2026-09-18T03:26:00+08:00,1789673150.221,167,4652.9,35.89,39,5126.24,7.41,9779.14
43785,2,1789673246,2026-09-18T03:27:26+08:00,1789673160.494,1855,47402.14,39.13,279,38103.73,7.3,85505.87
44070,2,1789673275,2026-09-18T03:27:55+08:00,1789673246.284,117,4196.34,27.88,180,24520.05,7.3,28716.4
44252,2,1789673390,2026-09-18T03:29:50+08:00,1789673275.029,166,4743.06,35.0,779,110227.85,7.06,114970.91
45033,2,1789673421,2026-09-18T03:30:21+08:00,1789673389.282,88,2828.38,31.11,212,28889.31,7.3,31717.69
45247,2,1789673691,2026-09-18T03:34:51+08:00,1789673421.53,149,4786.28,31.13,1821,264683.37,6.88,269469.65
47070,2,1789673756,2026-09-18T03:35:56+08:00,1789673691.319,99,3324.14,29.78,442,61357.19,7.19,64681.33
47514,2,1789673797,2026-09-18T03:36:37+08:00,1789673755.261,150,4866.65,30.82,266,36871.99,7.19,41738.63
47782,2,1789673964,2026-09-18T03:39:24+08:00,1789673797.725,165,5131.54,32.15,1136,161143.65,7.04,166275.19
48920,2,1789674021,2026-09-18T03:40:21+08:00,1789673963.3,151,4535.55,33.29,383,53164.66,7.19,57700.21
49305,2,1789674324,2026-09-18T03:45:24+08:00,1789674021.33,127,4111.43,30.89,2048,298558.14,6.86,302669.57
51355,2,1789674503,2026-09-18T03:48:23+08:00,1789674324.151,134,4553.29,29.43,1229,174295.89,7.05,178849.18
52586,1,1789674533,2026-09-18T03:48:53+08:00,1789674503.11,1004,23582.39,42.57,51,6308.07,7.93,29890.46
52643,1,1789674553,2026-09-18T03:49:13+08:00,1789674532.568,90,2643.88,34.04,142,17788.32,7.93,20432.2
52787,1,1789674561,2026-09-18T03:49:21+08:00,1789674553.765,85,2398.24,35.44,39,4836.73,7.86,7234.97
52828,1,1789674576,2026-09-18T03:49:36+08:00,1789674561.116,153,4184.14,36.57,86,10699.78,7.94,14883.92
52916,1,1789674664,2026-09-18T03:51:04+08:00,1789674575.695,165,4388.6,37.6,651,83916.68,7.75,88305.28
53569,1,1789674690,2026-09-18T03:51:30+08:00,1789674663.502,124,3456.58,35.87,180,23041.03,7.77,26497.61
53751,1,1789674704,2026-09-18T03:51:44+08:00,1789674690.906,152,4219.79,36.02,70,8874.09,7.78,13093.89
53823,1,1789674799,2026-09-18T03:53:19+08:00,1789674703.285,111,3386.61,32.78,710,92328.17,7.68,95714.77
54535,0,1789674936,2026-09-18T03:55:36+08:00,1789674799.443,1080,26027.78,41.49,820,110528.97,7.41,136556.74
55361,0,1789674945,2026-09-18T03:55:45+08:00,1789674936.108,105,3395.94,30.92,44,5496.55,7.82,8892.49
55408,0,1789674969,2026-09-18T03:56:09+08:00,1789674944.318,69,2371.68,29.09,175,22310.27,7.8,24681.94
55585,0,1789674996,2026-09-18T03:56:36+08:00,1789674969.086,146,4270.67,34.19,176,22643.36,7.73,26914.03
55763,3,1789675036,2026-09-18T03:57:16+08:00,1789674996.095,1258,31513.35,39.92,66,8391.65,7.75,39905.0
55835,3,1789675045,2026-09-18T03:57:25+08:00,1789675035.975,114,3871.45,29.45,41,5153.87,7.76,9025.32
55878,3,1789675113,2026-09-18T03:58:33+08:00,1789675045.39,153,4546.08,33.66,476,63063.43,7.53,67609.51
56356,3,1789675223,2026-09-18T04:00:23+08:00,1789675113.028,74,2627.61,28.16,815,107344.02,7.58,109971.64
57173,3,1789675417,2026-09-18T04:03:37+08:00,1789675222.967,157,4399.33,35.69,1400,189633.56,7.38,194032.89
58575,3,1789675491,2026-09-18T04:04:51+08:00,1789675416.829,109,3430.6,31.77,538,70740.53,7.59,74171.13
59115,3,1789675599,2026-09-18T04:06:39+08:00,1789675491.772,65,1697.85,38.28,798,105530.36,7.55,107228.21
59915,3,1789675658,2026-09-18T04:07:38+08:00,1789675598.147,156,4626.86,33.72,421,55225.92,7.61,59852.77
60338,3,1789675921,2026-09-18T04:12:01+08:00,1789675658.859,201,5950.38,33.78,1841,256190.9,7.18,262141.27
62181,3,1789676244,2026-09-18T04:17:24+08:00,1789675920.415,807,23416.13,34.46,2048,300168.57,6.82,323584.71
